# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo    Distinct/Sub
  6.4847     0.2986    25.443    -185.5      -51.77      -400.76     653.53       503.9         0.1122      69270    0     
  31.2461    31.9661   28.7484   1.38        66.85       -304.77     361.56       304.5         0.009927    73800    0     
  17.157     26.7145   31.403    -323.03     27.08       -290.86     544.54       410.6         0.067481    77307    0     
  46.3384    44.5768   35.8452   47.74       409.88      146.63      598.14       460.3         0.083161    80741    0     
  41.1965    17.9313   33.2981   -127.19     117.02      -382.84     364.9        312.0         0.032789    84785    0     
  10.9326    31.4078   36.3556   -472.39     139.29      -187.72     425.88       362.0         0.1824      84934    0     
  47.3071    8.5636    39.0793   -237.45     8.26        78.59       507.8        398.9         0.034049    85182    0     
  48.0699    11.0361   36.9631   -262.72     74.05       -119.49     455.47       368.2         0.034162    86301    0     
  14.7624    25.3201   33.8934   -296.73     218.26      -45.5       497.04       375.1         0.082866    86987    0     
  14.8653    37.691    36.7143   -361.22     54.59       -111.44     519.84       395.0         0.016182    87162    0     
  5.3974     34.6031   35.7059   259.76      4.26        -458.46     602.8        455.9         0.2321      87742    0     
  45.7062    13.1081   35.858    122.14      -301.54     -338.14     500.73       372.9         0.076037    89175    0     
  33.8153    30.8769   36.1323   -15.01      181.92      -256.95     376.58       323.2         0.03094     91413    0     
  46.553     12.697    37.2048   -80.87      32.83       -433.4      447.88       391.9         0.090293    92284    0     
  27.0294    17.9296   39.5118   -47.89      139.8       -181.01     351.13       303.3         0.045887    92310    0     
  42.2233    41.2153   40.2879   -102.27     607.69      -7.84       392.63       313.8         0.039781    92523    0     
  30.9099    45.9974   39.7154   211.81      150.2       -105.21     442.8        359.2         0.037498    95746    0     
  48.6951    5.6301    41.9678   -584.29     74.48       9.45        590.69       449.9         0.1359      97436    0     
  9.8523     31.9202   36.242    257.47      61.72       -545.85     775.76       584.2         0.096742    97749    0     
  46.959     5.7592    42.1653   -54.33      268.14      -282.43     748.12       616.6         0.060053    98010    0     
  38.5121    5.724     44.5403   -21.36      368.35      -221.48     624.51       444.6         0.099839    98499    0     
  13.4371    24.8104   39.0357   4.48        334.87      -496.34     658.12       496.1         0.024212    98681    0     
  42.285     42.2332   40.4064   85.38       444.22      -279.56     376.29       307.8         0.029312    99765    0     
  13.1563    36.1929   37.0353   18.39       65.11       -580.3      826.5        622.2         0.069345    99779    0     
  35.2661    8.8611    40.7132   58.47       184.62      -232.72     575.66       454.4         0.1121      99960    0     
  47.8656    48.9827   43.4307   -35.82      443.67      -255.31     512.84       400.7         0.0267      103413   0     
  17.4318    44.4001   40.3137   -149.33     133.62      -501.57     549.66       452.8         0.1407      103442   0     
  15.6137    22.3525   42.0286   -138.11     218.48      -311.63     762.8        625.2         0.035216    105824   0     
  36.3668    16.9157   48.6127   -248.85     307.64      266.75      589.95       447.2         0.083436    108354   0     
  12.5108    21.8212   43.5133   134.07      356.27      -487.45     353.25       301.1         0.015099    109438   0     
  44.2512    4.1694    47.1215   -39.78      -28.4       -239.92     642.35       510.8         0.1251      110363   0     
  37.4118    31.7969   47.2874   154.55      145.13      -259.38     541.27       462.0         0.037862    111708   0     
  40.8409    6.1944    48.3362   116.77      -108.27     -267.79     363.87       302.8         0.013945    113035   0     
  4.0875     15.2983   49.0623   -81.69      -56.4       3.98        444.43       368.0         0.077157    113636   0     
  41.1638    1.6507    49.7913   337.65      52.84       -191.87     493.22       382.8         0.025462    115673   0     
