# X(Mpch)    Y(Mpch)    Z(Mpch)    Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo     Distinct/Sub
  189.4719   164.6041   0.0032     216.8       -271.06     -203.28     1084.0       821.8         0.034941    1451465   0     
  152.9596   195.3639   6.0036     -115.24     251.01      -414.28     1229.6       921.5         0.062855    1458943   0     
  233.5048   186.0246   15.1421    384.17      -172.32     -30.5       1047.4       783.3         0.027062    1521429   0     
  241.2634   150.7859   40.6129    50.62       -650.01     359.48      1260.9       919.6         0.079083    1555653   0     
  5.2599     202.4911   10.0801    244.16      -65.85      -91.86      1357.8       988.7         0.020919    1588953   0     
  6.3868     237.455    5.411      -79.07      -29.85      -401.15     1203.2       950.3         0.071351    1589699   0     
  6.3639     200.4612   13.0633    -352.46     477.85      -940.18     839.43       712.6         0.045199    1616142   0     
  5.4331     249.2352   21.6223    -182.8      -34.6       -395.93     999.93       787.6         0.045033    1619206   0     
  97.3763    222.3085   47.8778    25.25       -37.53      439.76      960.6        796.4         0.034513    1721907   0     
  141.6987   247.5382   17.9154    -481.82     146.28      325.85      1012.9       793.9         0.069557    1742031   0     
  148.6551   203.7614   12.8044    33.95       343.57      -22.45      951.52       721.3         0.025602    1747035   0     
  156.7166   242.6763   16.7274    448.01      794.44      43.4        920.2        721.8         0.029203    1814101   0     
  170.9709   248.4787   18.8781    56.3        442.53      310.19      1142.9       867.2         0.041348    1819354   0     
  215.7919   239.7781   2.2014     719.97      -106.37     -499.22     1160.5       829.6         0.062996    1871635   0     
  10.9697    36.0819    80.3283    -128.25     144.25      -63.24      1094.9       782.9         0.055812    1976209   0     
  12.1745    36.4633    96.0124    -137.8      22.1        60.97       898.93       743.7         0.032485    1998406   0     
  89.4899    48.3543    53.9506    -78.93      39.52       49.06       1025.9       711.6         0.073418    2013622   0     
  57.7075    49.8832    77.8971    408.17      303.9       101.84      1014.1       813.5         0.0103      2042272   0     
  79.9882    45.7087    84.7       -406.16     -211.66     377.81      910.83       701.3         0.032772    2043114   0     
  80.9331    44.0945    79.8052    -352.07     475.96      -54.97      902.41       713.2         0.028554    2044723   0     
  98.1599    41.4594    94.4756    92.8        480.61      120.3       1158.1       772.4         0.1353      2073344   0     
  79.5567    45.4758    88.5437    -161.81     199.3       -772.65     1138.0       780.2         0.1487      2073388   0     
  118.0629   16.6396    52.7515    131.79      59.55       -375.28     984.07       798.5         0.019739    2088626   0     
  178.066    49.3806    56.5178    211.25      -531.43     967.54      1232.8       833.0         0.091497    2154763   0     
  156.4674   9.1289     75.1954    569.3       -135.75     -5.13       1229.7       939.6         0.040338    2187102   0     
  160.3709   6.9459     75.3458    -107.55     366.5       -15.56      1418.2       1079.0        0.065706    2195349   0     
  182.3471   45.0353    76.0398    -124.95     256.34      -138.91     966.46       746.8         0.015718    2202326   0     
  211.4187   27.3264    64.8521    -51.95      123.39      8.59        907.96       712.9         0.035788    2252686   0     
  202.1087   28.8869    76.7112    112.95      136.89      -100.46     1033.5       798.6         0.03055     2273242   0     
  6.9091     80.5894    83.14      -89.87      -16.37      -158.62     984.32       773.4         0.037753    2359752   0     
  42.9777    69.8711    82.4528    234.12      -139.84     -102.4      1098.7       835.2         0.037261    2362588   0     
  67.165     64.4949    69.3476    531.98      -143.15     -436.27     1447.2       1008.0        0.1447      2404814   0     
  64.0046    89.8752    66.2314    -241.45     -301.61     -130.64     955.42       726.9         0.0151      2415821   0     
  63.144     52.2615    77.7455    -147.44     134.56      183.06      1338.2       975.2         0.056793    2433638   0     
  55.4195    85.7689    93.13      -210.69     -465.61     55.92       1026.6       791.7         0.030386    2443921   0     
