# X(Mpch)    Y(Mpch)   Z(Mpch)   Vx(kms-1)   Vy(kms-1)   Vz(kms-1)   Rvir(kpch)   Vcirc(kms-1)  Xoff        Nhalo      Distinct/Sub  
  44.4169    9.5303    28.7094   -246.02     244.86      -315.98     51.88        178.9         0.035282    66534.0    67644.0       
  31.8897    26.0927   26.0241   -272.24     -386.4      -271.46     177.52       173.4         0.060065    61695.0    68388.0       
  4.6422     26.8647   26.0216   152.63      735.96      -757.85     44.447       130.6         0.1285      72453.0    68953.0       
  6.7006     0.6782    25.6397   -202.15     130.24      -342.35     94.745       163.0         0.022007    64806.0    69270.0       
  16.8335    26.6678   31.1331   -277.92     94.66       -295.99     287.23       126.6         0.072318    81174.0    77307.0       
  46.6206    44.5998   36.0344   -627.08     274.89      -151.36     234.99       254.8         0.061771    80755.0    80741.0       
  41.1998    17.8965   33.3691   251.8       -149.76     -101.17     78.462       126.6         0.050571    78948.0    84785.0       
  10.8217    31.7343   36.4907   -431.79     22.5        -182.26     152.36       208.5         0.020711    90904.0    84934.0       
  47.2556    8.5686    39.3911   179.15      560.32      -82.8       187.54       96.99         0.042464    84634.0    85182.0       
  48.0027    11.0252   37.0935   209.38      170.54      -291.39     146.43       138.0         0.021038    90188.0    86301.0       
  14.7604    25.3065   33.9082   14.74       363.84      -627.72     20.071       134.3         0.075718    83202.0    86987.0       
  14.8872    37.7134   36.671    -948.48     -93.28      72.29       16.982       106.8         0.078113    89963.0    87162.0       
  5.6675     34.7853   35.4185   368.12      115.45      -594.78     254.3        296.8         0.074546    95679.0    87742.0       
  45.8385    12.9355   35.658    -203.04     185.76      121.48      40.125       189.6         0.035403    86316.0    89175.0       
  46.567     12.6604   37.2849   254.4       -648.61     -199.24     88.293       152.8         0.046828    92305.0    92284.0       
  26.99      17.9246   39.4769   112.16      327.76      333.1       32.97        133.4         0.059667    89199.0    92310.0       
  42.2424    41.2548   40.2991   -116.15     378.75      -633.39     42.895       97.67         0.023748    90445.0    92523.0       
  30.8159    45.9974   39.7021   -69.66      321.35      -565.28     94.207       190.8         0.053731    97310.0    95746.0       
  48.6169    5.5322    42.2673   -419.87     646.99      -204.6      155.19       288.4         0.013317    91635.0    97436.0       
  10.2031    31.7331   36.4468   -186.06     452.22      182.02      32.011       194.6         0.096111    83294.0    97749.0       
  46.8192    5.7378    42.179    -444.93     70.68       585.38      141.94       247.9         0.051612    96402.0    98010.0       
  38.4359    5.7827    44.4828   582.99      -116.52     -183.41     111.86       227.1         0.067123    106181.0   98499.0       
  13.5222    24.9378   38.9279   866.8       -206.61     -195.85     48.935       189.7         0.079847    98688.0    98681.0       
  42.5822    42.1879   40.6286   275.97      603.17      -530.27     144.86       116.9         0.012825    95179.0    99765.0       
  13.1543    36.134    36.9521   -589.61     -179.33     82.65       54.095       239.1         0.03871     90948.0    99779.0       
  35.2196    8.7849    40.9431   -125.99     51.64       369.28      28.053       152.0         0.073889    90141.0    99960.0       
  47.732     49.1129   43.4591   -206.63     -32.13      -225.26     185.97       143.5         0.031913    106610.0   103413.0      
  17.4347    44.5968   40.4954   184.06      -30.21      -945.46     112.24       182.4         0.060694    109193.0   103442.0      
  15.4505    22.5589   42.3365   289.24      -132.2      147.34      210.09       147.5         0.037973    97592.0    105824.0      
  36.2936    17.0011   48.5478   420.79      -388.43     -205.97     129.66       209.6         0.01784     114596.0   108354.0      
  43.9909    3.9235    47.5661   -305.15     412.26      -444.47     470.72       224.0         0.1409      105641.0   110363.0      
  37.295     31.8345   47.0494   13.17       166.29      -435.02     67.166       130.4         0.044839    114279.0   111708.0      
  40.8593    6.3041    48.3413   190.31      -460.69     -240.56     110.23       127.6         0.019941    111987.0   113035.0      
  4.0793     15.2894   49.1215   -240.29     171.96      -761.25     60.352       245.9         0.036611    117727.0   113636.0      
  41.1822    1.2844    49.9926   226.68      243.14      -149.84     244.63       115.2         0.044582    117086.0   115673.0      
  36.0888    17.6337   49.9303   129.56      19.3        -299.36     56.29        117.1         0.191       116504.0   116512.0      
  27.5691    14.7264   0.9234    212.58      70.77       209.0       108.57       79.3          0.022314    118991.0   120715.0      
  49.795     38.0247   1.9955    394.66      -21.77      437.91      228.64       147.2         0.1117      120588.0   121600.0      
  12.3113    47.5998   3.0446    -140.05     364.94      366.6       234.32       164.5         0.1699      1688.0     122753.0      
  87.4954    24.1172   0.9457    -73.98      163.62      251.5       46.89        83.23         0.08531     233038.0   123742.0      
  52.0973    16.4232   1.2198    -424.98     580.67      246.47      295.02       206.9         0.06564     125329.0   124931.0      
  69.7906    40.6209   4.0645    108.93      -218.22     77.42       161.05       110.9         0.016305    231300.0   125127.0      
  50.9073    41.0611   6.1602    452.7       61.14       211.65      201.29       193.3         0.058024    138012.0   126044.0      
  85.3487    22.4748   1.2106    87.12       880.5       129.4       168.01       163.4         0.020541    233356.0   126832.0      
  68.0948    33.3152   1.5204    -413.57     776.69      688.67      79.398       264.3         0.02051     233413.0   127923.0      
  71.9769    33.7784   1.5171    -1047.91    19.63       411.8       25.055       110.0         0.1029      231777.0   128463.0      
  80.4035    40.9895   3.6513    41.32       -24.39      -80.52      360.71       140.3         0.1186      133170.0   129048.0      
  55.9057    40.8248   5.6806    -379.22     -692.99     -4.0        223.88       227.4         0.030293    131182.0   129584.0      
  88.5157    47.8793   5.4445    -15.46      -643.11     78.35       147.59       91.23         0.042588    137513.0   132223.0      
  98.7609    19.4379   7.1259    639.85      293.56      46.15       127.76       194.6         0.060038    129837.0   134527.0      
  99.8348    19.936    7.6928    312.52      308.27      -360.28     323.8        164.8         0.045972    142082.0   135555.0      
  66.4655    32.7836   3.1017    -258.12     833.95      -241.9      183.3        95.6          0.1552      135103.0   138393.0      
  62.8923    44.7196   6.2       -297.44     -469.34     -426.81     155.12       137.3         0.029593    143531.0   138613.0      
  88.2415    38.9396   8.3896    88.45       1.4         -85.91      207.69       166.1         0.1262      144486.0   139076.0      
  73.4727    3.7038    7.944     96.96       438.37      -194.65     143.07       208.0         0.026546    139821.0   139257.0      
  69.7324    39.1918   4.8851    -472.45     -14.08      -194.95     120.12       192.5         0.1677      135790.0   140220.0      
  58.3618    20.0085   9.5384    -982.15     -221.34     406.3       89.806       224.9         0.055016    135596.0   140540.0      
  58.0496    41.3857   5.9287    -241.81     -539.93     -527.43     291.68       163.1         0.15        151697.0   141322.0      
  86.1088    14.26     8.0752    514.84      662.47      93.99       108.88       173.5         0.04879     140988.0   142020.0      
  68.2766    34.0672   3.7431    -226.26     309.55      -1044.46    125.45       86.75         0.078439    146804.0   142280.0      
  83.6029    45.2713   6.8097    -39.65      -376.45     -305.0      66.726       194.6         0.1802      138595.0   144039.0      
